Rank	Score	Type	ID	Name	Description
1	99.93	oe	ccsbBroad304_00256	TNFSF8	CD molecules
2	99.75	cp	BRD-K08554278	bisbenzimide	DNA binding agent
3	99.57	oe	ccsbBroad304_00420	DAP	-
4	99.53	cp	BRD-K39944607	ochratoxin-a	Phenylalanyl tRNA synthetase inhibitor
5	99.52	cp	BRD-K83794624	pirarubicin	Topoisomerase inhibitor
6	99.46	kd	CGS001-6928	HNF1B	Homeoboxes / HNF class
7	99.4	kd	CGS001-10206	TRIM13	RING-type (C3HC4) zinc fingers
8	99.38	cp	BRD-K69650333	idarubicin	Topoisomerase inhibitor
9	99.18	cp	BRD-A11702965	chromomycin-a3	DNA binding agent
10	99.15	oe	ccsbBroad304_01411	RORC	Retinoic acid-related orphans
11	98.94	oe	ccsbBroad304_00863	IL15	Interleukins and interleukin receptors
12	98.91	cp	BRD-K19220233	JNK-9L	JNK inhibitor
13	98.67	cp	BRD-K43389675	daunorubicin	RNA synthesis inhibitor
14	98.58	cp	BRD-U51951544	ZG-10	JNK inhibitor
15	98.57	kd	CGS001-2538	G6PC	-
16	98.47	kd	CGS001-2052	EPHX1	-
17	98.38	kd	CGS001-5915	RARB	Retinoic acid receptors
18	98.37	kd	CGS001-9709	HERPUD1	-
19	98.24	kd	CGS001-1389	CREBL2	basic leucine zipper proteins
20	98.1	kd	CGS001-10671	DCTN6	-
21	98.06	kd	CGS001-79366	HMGN5	High-mobility group / Canonical
22	97.99	kd	CGS001-22930	RAB3GAP1	-
23	97.97	cp	BRD-K92991072	PAC-1	Caspase activator
24	97.93	kd	CGS001-84547	PGBD1	-
25	97.74	oe	ccsbBroad304_07528	DMTF1	-
26	97.64	oe	ccsbBroad304_02187	POLR1C	RNA polymerase subunits
27	97.59	cp	BRD-K69328504	L-690488	Inositol monophosphatase inhibitor
28	97.51	kd	CGS001-4487	MSX1	Homeoboxes / ANTP class : NKL subclass
29	97.45	kd	CGS001-6509	SLC1A4	Alanine/serine/cysteine transporter subfamily
30	97.18	oe	ccsbBroad304_01613	STK11	LKB subfamily
31	96.99	oe	ccsbBroad304_01811	PCGF2	Polycomb group ring fingers
32	96.95	cp	BRD-K13566078	BMS-345541	IKK inhibitor
33	96.62	oe	ccsbBroad304_00290	CEBPG	basic leucine zipper proteins
34	96.6	cp	BRD-K24132293	piperlongumine	Glutathione transferase inhibitor
35	96.45	cp	BRD-K22947005	dexbrompheniramine	Histamine receptor antagonist
36	96.43	cp	BRD-K09631521	thiotepa	Cytochrome P450 inhibitor
37	96.34	kd	CGS001-1314	COPA	Endogenous ligands
38	96.3	kd	CGS001-55654	TMEM127	-
39	96.19	cc		Interleukins GOF	-
40	96.06	oe	ccsbBroad304_05801	ALDH3A1	Aldehyde dehydrogenases
41	96.06	kd	CGS001-9337	CNOT8	-
42	95.99	cp	BRD-K85503079	perospirone	Dopamine receptor antagonist
43	95.9	kd	CGS001-4205	MEF2A	Myocyte enhancer factors
